anio,mes,dia,titulo,descripcion
2022,7,21,Encuesta de ocupación hotelera (EOH) - Mayo de 2022,"<li><a href=""https://www.yvera.tur.ar/estadistica/informe/info/encuesta-de-ocupacion-hotelera-eoh"">🔗 Informe</a></li>
<li><a href=""https://tableros.yvera.tur.ar/eoh.html"">💻 Reporte</a></li>
<li><a href=""https://datos.yvera.gob.ar/dataset?groups=sector-hotelero"">📖 Datos Abiertos></a></li>"
2022,8,5,Publicación Bitácora: Biblioteca,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-08-05-biblioteca/"">📖 BITÁCORA</a></li>"
2022,8,8,Publicación Bitácora: Agencias de Viajes y de Turismo Estudiantil,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-08-08-agencias/"">📖 BITÁCORA</a></li>"
2022,8,16,Estadísticas de turismo internacional (ETI) - Junio de 2022,"<li><a href=""https://tableros.yvera.tur.ar/internacional.html"">💻 Reporte</a></li>
<li><a href=""https://tableros.yvera.tur.ar/turismo_internacional/"">👨🏻‍💻 Tablero</a> </li>
<li><a href=""http://datos.yvera.gob.ar/dataset?groups=turismo-internacional"">📖 Datos Abiertos</a> </li>"
2022,8,19,Publicación Bitácora: Portal de Datos Abiertos,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-08-18-portal-de-datos-abiertos/"">📖 BITÁCORA</a> </li>"
2022,8,25,Encuesta de ocupación hotelera (EOH) - Junio de 2022,"<li><a href=""https://www.yvera.tur.ar/estadistica/informe/info/encuesta-de-ocupacion-hotelera-eoh"">🔗 Informe</a></li>
<li><a href=""https://tableros.yvera.tur.ar/eoh.html"">💻 Reporte</a></li>
<li><a href=""https://datos.yvera.gob.ar/dataset?groups=sector-hotelero"">📖 Datos Abiertos></a></li>"
2022,8,25,Datos abiertos del Sistema Argentino de Calidad Turística (SACT),"<li><a href=""https://datos.yvera.gob.ar/dataset/organizaciones-distinguidas-sistema-argentino-calidad-turistica-sact/"">📖 DATOS ABIERTOS</a> </li>"
2022,8,26,Publicación: Directrices de Gestión Ambiental,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-08-25-directrices-de-gestin-ambiental/"">📖 BITÁCORA</a> </li>"
2022,8,29,Reporte: Empleo en Turismo - Mayo de 2022,"<li><a href=""https://tableros.yvera.tur.ar/empleo.html"">💻  Reporte</a> </li>"
2022,9,8,Estadísticas de turismo internacional (ETI) - Julio de 2022,"<li><a href=""https://tableros.yvera.tur.ar/internacional.html"">💻 Reporte</a></li>
<li><a href=""https://tableros.yvera.tur.ar/turismo_internacional/"">👨🏻‍💻 Tablero</a> </li>
<li><a href=""http://datos.yvera.gob.ar/dataset?groups=turismo-internacional"">📖 Datos Abiertos</a> </li>
<li><a href=""https://www.yvera.tur.ar/sinta/informe/info/turismo-internacional"">🔗 Informe</a></li>"
2022,9,9,Publicación Bitácora: SintIa,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-09-08-sintia/"">📖 BITÁCORA</a> </li>"
2022,9,12,Estadísticas de visitas en Parques Nacionales - Febrero 2022,"<li><a href=""https://tableros.yvera.tur.ar/parques_nacionales.html"">💻 Reporte</a></li>
<li><a href=""https://www.yvera.tur.ar/sinta/informe/info/parques-nacionales"">🔗 Informe</a> </li>
<li><a href=""http://datos.yvera.gob.ar/dataset/parques-nacionales"">📖 Datos Abiertos</a> </li>"
2022,9,20,Encuesta de ocupación hotelera (EOH) - Julio de 2022,"<li><a href=""https://tableros.yvera.tur.ar/eoh.html"">💻 Reporte</a></li>
<li><a href=""https://www.yvera.tur.ar/estadistica/informe/info/encuesta-de-ocupacion-hotelera-eoh"">🔗 Informe</a></li>
<li><a href=""https://datos.yvera.gob.ar/dataset?groups=sector-hotelero"">📖 Datos Abiertos></a></li>"
2022,10,3,Encuesta de Viajes y Turismo de los Hogares (EVyTH) - II trimestre de 2022,"<li><a href=""https://tableros.yvera.tur.ar/interno.html"">💻 Reportes</a> </li>
<li><a href=""https://www.yvera.tur.ar/sinta/informe/info/encuesta-de-viajes-y-turismo-de-los-hogares-evyth"">🔗 Informe</a></li>
<li><a href=""https://datos.yvera.gob.ar/dataset?groups=turismo-interno"">📖 Datos Abiertos</a> </li>"
2022,10,12,Estadísticas de turismo internacional (ETI) - Agosto de 2022,"<li><a href=""https://tableros.yvera.tur.ar/internacional.html"">💻 Reporte</a></li>
<li><a href=""https://tableros.yvera.tur.ar/turismo_internacional/"">👨🏻‍💻 Tablero</a> </li>
<li><a href=""http://datos.yvera.gob.ar/dataset?groups=turismo-internacional"">📖 Datos Abiertos</a> </li>"
2022,10,24,Encuesta de ocupación hotelera (EOH) - Agosto de 2022,"<li><a href=""https://tableros.yvera.tur.ar/eoh.html"">💻 Reporte</a></li>
<li><a href=""https://www.yvera.tur.ar/estadistica/informe/info/encuesta-de-ocupacion-hotelera-eoh"">🔗 Informe</a></li>
<li><a href=""https://datos.yvera.gob.ar/dataset?groups=sector-hotelero"">📖 Datos Abiertos></a></li>"
2022,10,21,Publicación Bitácora: El turismo de Argentina en LatinR,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-10-21-el-turismo-de-argentina-en-latinr/"">📖 BITÁCORA</a> </li>"
2022,11,10,Estadísticas de turismo internacional (ETI) - Septiembre de 2022,"<li><a href=""https://tableros.yvera.tur.ar/internacional.html"">💻 Reporte</a></li>
<li><a href=""https://tableros.yvera.tur.ar/turismo_internacional/"">👨🏻‍💻 Tablero</a> </li>
<li><a href=""http://datos.yvera.gob.ar/dataset?groups=turismo-internacional"">📖 Datos Abiertos</a> </li>"
2022,11,23,Encuesta de ocupación hotelera (EOH) - Septiembre de 2022,"<li><a href=""https://tableros.yvera.tur.ar/eoh.html"">💻 Reporte</a></li>
<li><a href=""https://www.yvera.tur.ar/estadistica/informe/info/encuesta-de-ocupacion-hotelera-eoh"">🔗 Informe</a></li>
<li><a href=""https://datos.yvera.gob.ar/dataset?groups=sector-hotelero"">📖 Datos Abiertos></a></li>"
2022,12,21,Estadísticas de turismo internacional (ETI) - Octubre de 2022,"<li><a href=""https://tableros.yvera.tur.ar/internacional.html"">💻 Reporte</a></li>
<li><a href=""https://tableros.yvera.tur.ar/turismo_internacional/"">👨🏻‍💻 Tablero</a> </li>
<li><a href=""http://datos.yvera.gob.ar/dataset?groups=turismo-internacional"">📖 Datos Abiertos</a> </li>"
2022,12,21,Encuesta de ocupación hotelera (EOH) - Octubre de 2022,"<li><a href=""https://tableros.yvera.tur.ar/eoh.html"">💻 Reporte</a></li>
<li><a href=""https://www.yvera.tur.ar/estadistica/informe/info/encuesta-de-ocupacion-hotelera-eoh"">🔗 Informe</a></li>
<li><a href=""https://datos.yvera.gob.ar/dataset?groups=sector-hotelero"">📖 Datos Abiertos</a></li>"
2022,8,2,Reporte MULC - Junio de 2022,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2022,9,2,Reporte MULC - Julio de 2022,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2022,10,4,Reporte MULC - Agosto de 2022,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2022,11,2,Reporte MULC - Septiembre de 2022,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2022,12,5,Reporte MULC - Octubre de 2022,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2022,1,31,Informe Mensual de Estadísticas de Turismo (IMET) - enero de 2022,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2022,2,28,Informe Mensual de Estadísticas de Turismo (IMET) - febrero de 2022,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2022,3,31,Informe Mensual de Estadísticas de Turismo (IMET) - marzo de 2022,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2022,4,29,Informe Mensual de Estadísticas de Turismo (IMET) - abril de 2022,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2022,5,31,Informe Mensual de Estadísticas de Turismo (IMET) - mayo de 2022,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2022,6,30,Informe Mensual de Estadísticas de Turismo (IMET) - junio de 2022,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2022,7,29,Informe Mensual de Estadísticas de Turismo (IMET) - julio de 2022,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2022,8,31,Informe Mensual de Estadísticas de Turismo (IMET) - agosto de 2022,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2022,9,30,Informe Mensual de Estadísticas de Turismo (IMET) - septiembre de 2022,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2022,10,31,Informe Mensual de Estadísticas de Turismo (IMET) - octubre de 2022,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2022,12,2,Informe Mensual de Estadísticas de Turismo (IMET) - noviembre de 2022,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2022,6,15,Panorama Económico del Turismo en Argentina - mayo de 2022,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2022,7,15,Panorama Económico del Turismo en Argentina - junio de 2022,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2022,9,21,Publicación: Informe de cadena de valor del turismo,"<li><a href=""https://biblioteca.yvera.tur.ar/"">🔗 Informe</a></li>"
2022,10,3,Reporte: Empleo en Turismo - Junio de 2022,"<li><a href=""https://tableros.yvera.tur.ar/empleo.html"">💻  Reporte</a> </li>"
2022,10,28,Nuevo Tablero y Post Bitácora: Conectividad Aérea,"<li><a href=""https://tableros.yvera.tur.ar/conectividad"">👨🏻‍💻Tablero </a> </li>
<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-10-28-datos-aerocomerciales/"">📖 BITÁCORA</a> </li>"
2022,10,28,Estadísticas de visitas en Parques Nacionales - Marzo 2022,"<li><a href=""https://tableros.yvera.tur.ar/parques_nacionales.html"">💻 Reporte</a></li>
<li><a href=""https://www.yvera.tur.ar/sinta/informe/info/parques-nacionales"">🔗 Informe</a> </li>
<li><a href=""http://datos.yvera.gob.ar/dataset/parques-nacionales"">📖 Datos Abiertos</a> </li>"
2022,11,11,Publicación Bitácora: Novedades en la Encuesta de Turismo Internacional (ETI),"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-11-10-novedades-en-la-encuesta-de-turismo-internacional-eti/"">📖 BITÁCORA</a> </li>"
2022,11,17,Estadísticas de visitas en Parques Nacionales - Abril 2022,"<li><a href=""https://tableros.yvera.tur.ar/parques_nacionales.html"">💻 Reporte</a></li>
<li><a href=""https://www.yvera.tur.ar/sinta/informe/info/parques-nacionales"">🔗 Informe</a> </li>
<li><a href=""http://datos.yvera.gob.ar/dataset/parques-nacionales"">📖 Datos Abiertos</a> </li>"
2022,11,22,Publicación Bitácora: Nueva versión del Monitor de provincias,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-11-19-nueva-version-del-monitor-de-provincias/"">📖 BITÁCORA</a> </li>"
2022,11,29,"Publicación Bitácora: SintIA II, un bot como asistente interno","<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-11-29-sintia-ii-un-bot-como-asistente-interno/"">📖 BITÁCORA</a> </li>"
2022,12,12,Reporte: Empleo en Turismo - Agosto de 2022,"<li><a href=""https://tableros.yvera.tur.ar/empleo.html"">💻  Reporte</a> </li>"
2022,12,16,Publicación: Documento de Trabajo N° 6: Estacionalidad en el turismo,"<li><a href=""https://biblioteca.yvera.tur.ar/"">🔗 Informe</a></li>"
2023,2,1,Reporte MULC - diciembre de 2022,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2023,3,1,Reporte MULC - enero de 2023,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2023,4,3,Reporte MULC - febrero de 2023,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2023,5,2,Reporte MULC - marzo de 2023,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2023,6,1,Reporte MULC - abril de 2023,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2023,7,3,Reporte MULC - mayo de 2023,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2023,8,1,Reporte MULC - junio de 2023,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2023,9,1,Reporte MULC - julio de 2023,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2023,10,3,Reporte MULC - agosto de 2023,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2023,11,1,Reporte MULC - septiembre de 2023,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2023,12,1,Reporte MULC - octubre de 2023,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2023,1,31,Informe Mensual de Estadísticas de Turismo (IMET) - enero de 2023,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2023,2,28,Informe Mensual de Estadísticas de Turismo (IMET) - febrero de 2023,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2023,3,31,Informe Mensual de Estadísticas de Turismo (IMET) - marzo de 2023,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2023,4,28,Informe Mensual de Estadísticas de Turismo (IMET) - abril de 2023,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2023,5,31,Informe Mensual de Estadísticas de Turismo (IMET) - mayo de 2023,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2023,6,30,Informe Mensual de Estadísticas de Turismo (IMET) - junio de 2023,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2023,7,31,Informe Mensual de Estadísticas de Turismo (IMET) - julio de 2023,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2023,8,31,Informe Mensual de Estadísticas de Turismo (IMET) - agosto de 2023,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2023,9,29,Informe Mensual de Estadísticas de Turismo (IMET) - septiembre de 2023,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2023,10,31,Informe Mensual de Estadísticas de Turismo (IMET) - octubre de 2023,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2023,11,30,Informe Mensual de Estadísticas de Turismo (IMET) - noviembre de 2023,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2023,12,29,Informe Mensual de Estadísticas de Turismo (IMET) - diciembre de 2023,"<li><a href=""https://biblioteca.yvera.tur.ar/coyuntura.html"">🔗 Informe</a></li>"
2022,12,29,Reporte: Empleo en Turismo - septiembre de 2022,"<li><a href=""https://tableros.yvera.tur.ar/empleo.html"">💻  Reporte</a> </li>"
2023,1,3,Encuesta de Viajes y Turismo de los Hogares (EVyTH) - III trimestre de 2022,"<li><a href=""https://tableros.yvera.tur.ar/interno.html"">💻 Reportes</a> </li>
<li><a href=""https://www.yvera.tur.ar/sinta/informe/info/encuesta-de-viajes-y-turismo-de-los-hogares-evyth"">🔗 Informe</a></li>
<li><a href=""https://datos.yvera.gob.ar/dataset?groups=turismo-interno"">📖 Datos Abiertos</a> </li>"
2023,1,3,Reporte MULC - noviembre de 2022,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2023,1,24,Encuesta de Ocupación Hotelera (EOH) - Noviembre 2022,"<li><a href=""https://tableros.yvera.tur.ar/eoh.html"">💻 Reporte</a></li>
<li><a href=""https://www.yvera.tur.ar/estadistica/informe/info/encuesta-de-ocupacion-hotelera-eoh"">🔗 Informe</a></li>
<li><a href=""https://datos.yvera.gob.ar/dataset?groups=sector-hotelero"">📖 Datos Abiertos</a></li>"
2023,2,23,Encuesta de Ocupación Hotelera (EOH) - Diciembre 2022,"<li><a href=""https://tableros.yvera.tur.ar/eoh.html"">💻 Reporte</a></li>
<li><a href=""https://www.yvera.tur.ar/estadistica/informe/info/encuesta-de-ocupacion-hotelera-eoh"">🔗 Informe</a></li>
<li><a href=""https://datos.yvera.gob.ar/dataset?groups=sector-hotelero"">📖 Datos Abiertos</a></li>"
2023,3,20,Encuesta de Ocupación Hotelera (EOH) - Enero 2023,"<li><a href=""https://tableros.yvera.tur.ar/eoh.html"">💻 Reporte</a></li>
<li><a href=""https://www.yvera.tur.ar/estadistica/informe/info/encuesta-de-ocupacion-hotelera-eoh"">🔗 Informe</a></li>
<li><a href=""https://datos.yvera.gob.ar/dataset?groups=sector-hotelero"">📖 Datos Abiertos</a></li>"
